Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Album Image URL,Track Duration (ms)
Last Friday Night (T.G.I.F.),Katy Perry,Teenage Dream,Katy Perry,2010-08-24,https://i.scdn.co/image/ab67616d0000b273f619042d5f6b2149a4f5e0ca,230733
Let Me Down Slowly,Alec Benjamin,Narrated For You,Alec Benjamin,2018-11-16,https://i.scdn.co/image/ab67616d0000b273459d675aa0b6f3b211357370,169353
Remember the Name (feat. Styles of Beyond),"Fort Minor, Styles Of Beyond",The Rising Tied,Fort Minor,2005-11-15,https://i.scdn.co/image/ab67616d0000b273100fb4649eae80922bf1acbf,230493
Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,Back To You (From 13 Reasons Why – Season 2 Soundtrack),Selena Gomez,2018-05-10,https://i.scdn.co/image/ab67616d0000b27330885dcb2b5f38512fbcbc59,207904
Stitches,Shawn Mendes,Handwritten,Shawn Mendes,2015-04-14,https://i.scdn.co/image/ab67616d0000b27375bd5306fb4669a15ee74eff,206880
Perfect,Ed Sheeran,÷ (Deluxe),Ed Sheeran,2017-03-03,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,263400
Cruel Summer,Taylor Swift,Lover,Taylor Swift,2019-08-23,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,178426
Somebody To You,The Vamps,Meet The Vamps,The Vamps,2014-01-01,https://i.scdn.co/image/ab67616d0000b2739f89b8390933e9ccb3673c89,185097
Who Says,Selena Gomez & The Scene,When The Sun Goes Down,Selena Gomez & The Scene,2011-01-01,https://i.scdn.co/image/ab67616d0000b2731c8193de8d62b2ffa49a09db,195613
Galway Girl,Ed Sheeran,÷ (Deluxe),Ed Sheeran,2017-03-03,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96,170826
Blank Space,Taylor Swift,1989 (Deluxe),Taylor Swift,2014-01-01,https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,231826
Heat Waves,Glass Animals,Dreamland,Glass Animals,2020-08-07,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,238805
How You Get The Girl,Taylor Swift,1989 (Deluxe),Taylor Swift,2014-01-01,https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a,247533
18,One Direction,FOUR (Deluxe),One Direction,2014-11-17,https://i.scdn.co/image/ab67616d0000b273d304ba2d71de306812eebaf4,248360
Wildest Dreams,Taylor Swift,1989,Taylor Swift,2014-01-01,https://i.scdn.co/image/ab67616d0000b273b7e976d2b35c767f9012cb72,220440
PILLOWTALK,ZAYN,Mind Of Mine (Deluxe Edition),ZAYN,2016-03-25,https://i.scdn.co/image/ab67616d0000b273a15e26d05b7ce776b566579d,202746
Love Story (Taylor s Version),Taylor Swift,Love Story (Taylor s Version),Taylor Swift,2021-02-12,https://i.scdn.co/image/ab67616d0000b273877ea8fa223c26f19aaef92d,235766
deja vu,Olivia Rodrigo,SOUR,Olivia Rodrigo,2021-05-21,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,215506
Karma,Taylor Swift,Midnights (3am Edition),Taylor Swift,2022-10-22,https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,204852
